date,open,close,high,low,volume,amount
2026-04-02,22.98,21.53,22.98,21.39,667123.0,1436315819.0000002
2026-04-03,21.6,21.88,22.55,21.6,476783.0,1043201204.0
2026-04-07,21.99,22.34,22.91,20.7,554704.0,1239208736.0
2026-04-08,22.8,23.18,23.45,22.0,610508.0,1415157544.0
2026-04-09,22.98,24.59,24.98,22.98,809771.0,1991226889.0
2026-04-10,24.48,23.66,24.95,23.62,679148.0,1606864168.0
2026-04-13,24.49,25.0,25.42,24.08,747799.0,1869497500.0
2026-04-14,24.95,24.32,25.2,23.89,721836.0,1755505152.0
2026-04-15,24.0,23.46,24.75,23.44,626702.0,1470242892.0
2026-04-16,22.99,22.93,23.38,22.61,508076.0,1165018268.0
2026-04-17,22.8,22.57,22.99,22.36,468850.0,1058194450.0
2026-04-20,22.54,22.6,23.11,22.49,430569.0,973085940.0
2026-04-21,22.5,21.79,22.6,21.59,455108.0,991680332.0
2026-04-22,21.41,22.53,22.83,21.15,677537.0,1526490861.0000002
2026-04-23,22.22,21.54,22.31,21.52,439913.0,947572602.0
2026-04-24,21.41,21.61,22.2,21.21,366776.0,792602936.0
2026-04-27,22.29,21.69,23.08,21.57,617490.0,1339335810.0000002
2026-04-28,21.15,20.65,21.45,20.55,493934.0,1019973710.0
2026-04-29,20.48,22.72,22.72,20.48,772859.0,1755935648.0
2026-04-30,22.84,22.6,23.26,22.44,740280.0,1673032800.0000002
2026-05-06,22.67,23.1,23.73,22.5,651876.0,1505833560.0000002
2026-05-07,22.98,22.51,23.0,22.32,528564.0,1189797564.0
2026-05-08,22.5,23.3,23.9,22.2,778069.0,1812900770.0
2026-05-11,23.51,23.22,24.1,22.61,659018.0,1530239796.0
2026-05-12,23.06,22.73,23.94,22.44,532395.0,1210133835.0
2026-05-13,22.53,22.0,22.7,21.9,556001.0,1223202200.0
2026-05-14,21.77,20.68,21.8,20.66,563594.0,1165512392.0
2026-05-15,20.61,20.06,20.72,19.35,585448.0,1174408688.0
2026-05-18,19.87,19.38,19.91,19.08,504316.0,977364408.0
2026-05-19,19.39,18.99,19.95,18.66,465578.0,884132621.9999999
2026-05-20,18.65,19.27,19.36,17.77,669230.0,1289606210.0
2026-05-21,18.97,19.47,20.58,18.67,843995.0,1643258264.9999998
2026-05-22,19.3,19.17,19.77,18.64,544680.0,1044151560.0
2026-05-25,19.27,19.08,20.13,18.74,615380.0,1174145039.9999998
2026-05-26,19.03,20.38,20.99,19.02,1217702.0,2481676676.0
2026-05-27,20.2,19.56,21.1,19.51,775303.0,1516492668.0
2026-05-28,19.41,19.17,19.85,18.6,500587.0,959625279.0
2026-05-29,19.18,18.65,20.15,18.4,545745.0,1017814425.0
2026-06-05,20.0,16.79,20.01,16.79,1114960.0,1872017840.0
2026-06-08,15.11,15.11,15.11,15.11,76281.0,115260591.0
2026-06-09,14.92,15.87,16.6,14.92,1104362.0,1752622493.9999998
2026-06-10,15.46,14.68,15.64,14.28,934837.0,1372340716.0
2026-06-11,14.57,14.9,15.25,14.31,638916.0,951984840.0
2026-06-12,15.15,16.39,16.39,15.01,594697.0,974708383.0
2026-06-15,16.49,15.89,16.86,15.5,842186.0,1338233554.0
2026-06-16,15.8,15.88,16.01,15.45,500997.0,795583236.0
2026-06-17,15.81,15.5,15.98,15.37,353794.0,548380700.0
2026-06-18,15.35,15.62,15.88,15.35,333444.0,520839528.0
2026-06-22,15.62,15.15,16.15,14.87,466245.0,706361175.0
2026-06-23,15.05,14.92,15.38,14.85,387233.0,577751636.0
2026-06-24,14.91,14.76,15.0,14.4,364118.0,537438168.0
2026-06-25,15.1,14.43,15.17,14.36,343107.0,495103401.0
2026-06-26,14.42,13.92,14.42,13.83,339576.0,472689792.0
2026-06-29,13.9,13.72,14.22,13.38,354483.0,486350676.0
2026-06-30,13.66,14.08,14.08,13.53,289080.0,407024640.0
2026-07-01,14.01,13.98,14.19,13.74,299533.0,418747134.00000006
2026-07-02,13.81,13.88,14.5,13.79,366601.0,508842188.0
2026-07-03,13.94,14.06,14.69,13.8,354533.0,498473398.00000006
2026-07-06,14.17,13.39,14.49,13.38,315096.0,421913544.00000006
2026-07-07,13.26,12.89,13.47,12.84,288169.0,371449841.0
2026-07-08,13.06,12.56,13.14,12.53,240955.0,302639480.0
2026-07-09,12.78,12.85,13.1,12.19,268828.0,345443980.0
2026-07-10,12.79,13.26,13.78,12.66,334975.0,444176850.0
2026-07-13,13.16,11.93,13.16,11.93,344456.0,410936008.0
2026-07-14,11.97,12.24,12.27,11.64,388612.0,475661088.0
2026-07-15,12.15,12.23,12.57,12.15,284870.0,348396010.0
2026-07-16,12.02,11.61,12.16,11.55,311631.0,361803591.0
2026-07-17,11.64,10.87,11.72,10.56,353746.0,384521902.0
2026-07-20,11.06,10.37,11.18,10.14,378520.0,392525240.0
2026-07-21,10.39,10.57,10.62,9.43,414647.0,438281879.0
2026-07-22,10.51,10.35,10.78,10.26,295542.0,305885970.0
