date,open,close,high,low,volume,amount
2026-04-09,62.1,61.07,62.22,61.0,35628.0,217580196.0
2026-04-10,61.45,62.2,62.8,61.45,42679.0,265463380.00000003
2026-04-13,62.0,62.68,63.98,61.51,56147.0,351929396.0
2026-04-14,63.47,63.11,63.58,62.32,41998.0,265049378.0
2026-04-15,63.5,62.61,63.85,62.46,42259.0,264583599.0
2026-04-16,62.68,62.92,63.66,62.52,50971.0,320709532.0
2026-04-17,62.8,62.45,62.82,62.05,37813.0,236142185.0
2026-04-20,62.44,64.77,65.23,62.23,89360.0,578784719.9999999
2026-04-21,64.88,64.06,64.89,63.49,49324.0,315969544.0
2026-04-22,64.07,64.07,64.49,63.43,42892.0,274809043.99999994
2026-04-23,64.07,63.92,65.79,63.76,73971.0,472822632.0
2026-04-24,63.6,61.64,63.6,61.02,71985.0,443715540.00000006
2026-04-27,64.71,67.8,67.8,64.71,136245.0,923741100.0
2026-04-28,69.58,67.0,69.58,66.71,180746.0,1210998200.0
2026-04-29,66.8,66.17,67.37,66.0,80457.0,532383969.00000006
2026-04-30,65.65,65.16,66.66,64.77,84541.0,550869156.0
2026-05-06,65.36,64.87,66.28,64.32,120813.0,783713931.0
2026-05-07,65.0,66.48,66.92,64.68,114103.0,758556744.0
2026-05-08,66.91,67.28,68.17,65.84,115090.0,774325520.0
2026-05-11,67.29,66.14,67.29,65.9,91255.0,603560570.0
2026-05-12,66.15,63.84,66.55,63.81,86826.0,554297184.0
2026-05-13,63.6,64.59,64.75,62.12,89946.0,580961214.0
2026-05-14,64.47,61.9,64.74,61.86,72617.0,449499230.0
2026-05-15,61.89,65.15,66.58,61.58,139433.0,908405995.0
2026-05-18,64.76,68.12,68.43,64.0,160379.0,1092501748.0
2026-05-19,68.3,68.36,70.3,67.8,122740.0,839050640.0
2026-05-20,68.09,68.68,69.79,67.33,96283.0,661271644.0
2026-05-21,68.69,68.48,71.0,68.2,144560.0,989946880.0
2026-05-22,69.0,67.76,69.6,67.38,102758.0,696288208.0
2026-05-25,67.77,66.91,67.97,66.39,77599.0,519214909.0
2026-05-26,66.91,66.88,68.5,65.89,81518.0,545192384.0
2026-05-27,66.41,64.33,66.9,64.13,76802.0,494067266.0
2026-05-28,64.0,62.34,64.0,60.8,86310.0,538056540.0
2026-05-29,62.0,58.72,62.34,58.6,92285.0,541897520.0
2026-06-01,58.77,59.59,60.2,58.52,50543.0,301185737.0
2026-06-02,59.66,58.4,60.06,57.5,53150.0,310396000.0
2026-06-03,58.47,57.6,59.2,57.35,51275.0,295344000.0
2026-06-04,57.35,56.72,58.32,56.48,51397.0,291523784.0
2026-06-05,56.72,58.92,59.78,55.41,91089.0,536696388.0
2026-06-08,57.62,61.29,61.58,57.3,107954.0,661650066.0
2026-06-09,61.28,60.55,61.28,59.3,66187.0,400762285.0
2026-06-10,60.02,58.47,61.08,58.17,61752.0,361063944.0
2026-06-11,58.25,55.68,58.6,54.31,99507.0,554054976.0
2026-06-12,56.4,54.48,56.5,54.16,111493.0,607413864.0
2026-06-15,54.48,55.58,55.75,54.48,79783.0,443433914.0
2026-06-16,55.6,54.91,55.77,54.85,56317.0,309236647.0
2026-06-17,54.5,53.32,54.64,53.01,81531.0,434723292.0
2026-06-18,53.25,53.08,54.29,52.36,54377.0,288633115.99999994
2026-06-22,53.53,53.8,55.0,52.51,66968.0,360287840.0
2026-06-23,53.36,52.2,53.77,51.9,63010.0,328912200.0
2026-06-24,51.84,51.27,52.25,51.03,53473.0,274156071.0
2026-06-25,51.23,51.47,52.68,50.51,59478.0,306133266.0
2026-06-26,51.3,49.45,51.47,49.45,54252.0,268276140.00000003
2026-06-29,49.45,49.78,50.25,48.4,68979.0,343377462.0
2026-06-30,49.71,50.75,51.16,49.26,69117.0,350768775.0
2026-07-01,50.66,51.65,51.99,50.11,67507.0,348673655.0
2026-07-02,51.6,51.26,52.73,51.05,62924.0,322548424.0
2026-07-03,51.95,54.68,55.64,51.18,123958.0,677802344.0
2026-07-06,53.5,52.9,54.66,52.7,72231.0,382101990.0
2026-07-07,52.66,51.89,53.9,51.73,58434.0,303214026.0
2026-07-08,51.0,50.13,51.19,49.86,43134.0,216230742.0
