date,open,close,high,low,volume,amount
2026-04-09,117.89,114.0,117.89,113.98,4370808.0,49827211200.0
2026-04-10,114.8,115.96,117.67,114.76,3512376.0,40729512096.0
2026-04-13,115.2,112.89,115.55,112.32,4590934.0,51827053926.0
2026-04-14,113.98,113.42,114.98,112.15,4296908.0,48735530536.0
2026-04-15,113.42,113.62,115.74,113.2,4090839.0,46480112718.0
2026-04-16,113.62,111.95,114.77,110.0,8097998.0,90657087610.0
2026-04-17,111.33,111.27,113.49,110.3,4598478.0,51167264706.0
2026-04-20,111.27,120.21,122.34,111.0,11579015.0,139191339315.0
2026-04-21,120.21,118.55,120.3,116.45,5759527.0,68279192585.0
2026-04-22,117.7,116.76,118.02,115.62,4613475.0,53866934100.0
2026-04-23,122.92,118.14,124.88,117.84,10620687.0,125472796218.0
2026-04-24,118.11,115.43,118.11,113.4,8096903.0,93462551329.00002
2026-04-27,115.5,118.68,120.82,115.5,7102334.0,84290499912.0
2026-04-28,118.5,117.17,119.89,116.86,5492659.0,64357485503.0
2026-04-29,117.58,117.86,118.2,116.52,4444032.0,52377361152.0
2026-04-30,117.11,115.8,118.68,115.28,5663581.0,65584267979.99999
2026-05-06,116.55,116.73,117.53,114.55,6374156.0,74405522988.0
2026-05-07,117.49,118.1,119.3,116.52,6761215.0,79849949150.0
2026-05-08,118.85,120.87,121.25,117.17,8794801.0,106302759687.0
2026-05-11,120.88,119.38,120.88,118.0,7905875.0,94380335750.0
2026-05-12,119.8,115.12,119.98,115.0,7870222.0,90601995664.0
2026-05-13,115.0,120.0,121.46,113.91,10084461.0,121013532000.0
2026-05-14,119.99,116.41,120.82,116.31,6739760.0,78457546160.0
2026-05-15,116.79,122.12,124.98,115.4,14069869.0,171821240228.0
2026-05-18,122.0,128.45,129.44,121.03,14778042.0,189823949490.0
2026-05-19,128.61,127.8,133.33,127.13,12657702.0,161765431560.0
2026-05-20,126.5,128.25,130.44,125.13,8565069.0,109847009925.0
2026-05-21,128.0,130.17,134.48,127.17,12367991.0,160994138846.99997
2026-05-22,131.5,126.82,131.6,125.88,9748820.0,123634535239.99998
2026-05-25,125.8,125.08,126.71,123.96,7460731.0,93318823348.0
2026-05-26,125.08,121.95,127.91,121.29,8240090.0,100487897550.0
2026-05-27,121.6,117.0,122.2,117.0,8608666.0,100721392200.0
2026-05-28,117.01,112.0,117.32,110.03,9190430.0,102932816000.0
2026-05-29,111.33,102.54,112.0,102.54,10769360.0,110429017440.00002
2026-06-01,103.69,107.98,109.72,103.69,9532809.0,102935271582.0
2026-06-02,107.98,106.03,108.77,103.8,5460047.0,57892878341.0
2026-06-03,106.08,104.87,107.14,103.8,6137193.0,64360742991.00001
2026-06-04,103.88,104.2,105.96,103.28,4253234.0,44318698280.0
2026-06-05,104.21,108.68,110.98,102.68,8735901.0,94941772068.0
2026-06-08,106.9,112.8,115.29,106.5,11030618.0,124425371039.99998
2026-06-09,113.02,111.07,114.0,109.8,5513163.0,61234701441.0
2026-06-10,109.9,105.28,111.07,105.13,6307415.0,66404465120.00001
2026-06-11,103.82,100.24,105.64,98.81,9427127.0,94497521047.99998
2026-06-12,101.0,101.99,101.99,98.43,12563244.0,128132525556.0
2026-06-15,100.85,102.6,104.5,100.68,7924033.0,81300578580.0
2026-06-16,102.47,100.4,102.47,99.8,6453593.0,64794073720.00001
2026-06-17,99.98,97.51,100.58,96.8,8279388.0,80732312388.0
2026-06-18,97.51,97.27,99.92,95.93,6773675.0,65887536725.0
2026-06-22,97.04,98.47,98.67,93.86,8947112.0,88102211864.0
2026-06-23,97.52,94.96,98.38,94.47,6018389.0,57150621943.99999
2026-06-24,94.89,92.49,95.84,92.28,7203234.0,66622711266.0
2026-06-25,92.02,95.94,97.67,91.94,8921824.0,85595979456.0
2026-06-26,95.01,91.59,95.94,91.59,6493737.0,59476137183.00001
2026-06-29,91.01,93.55,94.65,89.53,6679035.0,62482372425.0
2026-06-30,93.7,94.97,95.2,93.0,5095168.0,48388810496.0
2026-07-01,94.97,95.87,97.5,92.88,6129853.0,58766900711.0
2026-07-02,96.13,95.35,97.99,95.12,6706072.0,63942396519.99999
2026-07-03,95.99,99.6,100.8,95.51,10189499.0,101487410040.0
2026-07-06,99.0,97.49,99.5,96.96,6781981.0,66117532768.99999
2026-07-07,97.49,96.28,98.88,96.0,5690442.0,54787575576.0
2026-07-08,96.0,96.19,97.92,94.7,5077085.0,48836480615.0
2026-07-09,95.5,97.05,97.37,95.02,5499516.0,53372802780.0
2026-07-10,96.74,100.02,101.58,95.7,7727941.0,77294865882.0
2026-07-13,99.3,99.1,100.08,98.18,5729050.0,56774885500.0
2026-07-14,99.01,99.7,102.28,98.1,5618656.0,56018000320.00001
2026-07-15,98.99,102.92,104.87,98.08,7656518.0,78800883256.0
2026-07-16,102.0,106.0,107.43,101.58,10951638.0,116087362800.0
2026-07-17,106.0,99.17,106.0,98.68,9780292.0,96991155764.0
2026-07-20,99.66,102.2,104.41,97.07,9740428.0,99547174160.0
