date,open,close,high,low,volume,amount
2026-04-09,189.99,188.92,192.99,188.0,804186.0,15192681912.0
2026-04-10,190.26,193.08,197.96,189.51,1260508.0,24337888464.0
2026-04-13,191.78,193.2,197.0,190.67,977980.0,18894573600.0
2026-04-14,194.05,197.05,197.35,192.0,1098153.0,21639104865.0
2026-04-15,199.98,194.9,200.0,194.05,995308.0,19398552920.0
2026-04-16,194.08,195.18,198.48,193.66,728091.0,14210880138.0
2026-04-17,194.98,196.09,196.4,192.23,769742.0,15093870878.0
2026-04-20,196.09,198.0,199.5,194.1,803813.0,15915497400.0
2026-04-21,198.0,194.35,198.0,189.52,1366053.0,26549240055.0
2026-04-22,192.83,196.3,196.97,192.8,893410.0,17537638300.0
2026-04-23,196.99,194.59,199.48,193.21,1215039.0,23643443901.0
2026-04-24,193.02,192.3,195.81,189.91,776041.0,14923268430.000002
2026-04-27,192.3,195.6,197.46,190.61,878334.0,17180213040.0
2026-04-28,195.58,189.62,195.58,187.0,1313273.0,24902282626.000004
2026-04-29,189.62,191.25,193.95,186.48,1130858.0,21627659250.0
2026-04-30,191.34,192.86,195.4,189.68,1163479.0,22438855994.000004
2026-05-06,194.04,196.4,199.22,193.2,1781560.0,34989838400.0
2026-05-07,196.99,198.7,199.96,193.18,1669065.0,33164321550.0
2026-05-08,197.9,200.21,201.08,195.41,1479628.0,29623632188.0
2026-05-11,202.2,216.18,218.0,202.2,3558852.0,76935262536.0
2026-05-12,215.05,209.99,216.18,208.98,1952746.0,41005713254.0
2026-05-13,208.0,220.44,225.99,206.58,3299720.0,72739027680.0
2026-05-14,221.8,212.8,222.0,211.18,2204360.0,46908780800.0
2026-05-15,208.88,215.2,216.99,205.25,1918154.0,41278674079.99999
2026-05-18,212.01,209.3,213.96,207.36,1409993.0,29511153490.000004
2026-05-19,210.88,207.45,214.47,204.3,1455769.0,30199927905.0
2026-05-20,206.18,204.48,208.68,202.06,1317254.0,26935209792.0
2026-05-21,205.13,194.58,207.5,194.48,1805152.0,35124647616.0
2026-05-22,194.7,188.91,196.98,188.76,1721676.0,32524181316.0
2026-05-25,188.0,186.75,189.97,184.15,1520269.0,28391023575.0
2026-05-26,185.0,180.5,186.75,176.8,1746798.0,31529703900.0
2026-05-27,178.0,175.63,180.19,173.0,1770118.0,31088582434.0
2026-05-28,175.98,178.28,178.68,170.2,1511650.0,26949696200.0
2026-05-29,177.29,171.0,178.87,167.58,1543716.0,26397543600.0
2026-06-01,170.07,171.3,176.0,168.0,1414260.0,24226273800.000004
2026-06-02,171.5,166.95,172.0,165.0,1251211.0,20888967645.0
2026-06-03,167.74,174.6,181.2,167.07,2430852.0,42442675920.0
2026-06-04,172.0,168.88,172.37,168.26,1238498.0,20915754224.0
2026-06-05,168.0,163.0,168.0,161.59,1496388.0,24391124400.0
2026-06-08,158.1,155.56,159.55,152.24,1370050.0,21312497800.0
2026-06-09,157.99,158.8,162.0,154.65,1044479.0,16586326520.000002
2026-06-10,154.1,163.45,172.0,154.1,1985305.0,32449810225.0
2026-06-11,160.0,163.39,165.34,157.0,2656320.0,43401612479.99999
2026-06-12,162.0,156.49,162.96,155.8,2491340.0,38986979660.0
2026-06-15,157.5,156.42,161.88,155.5,3209531.0,50203483902.0
2026-06-16,156.0,148.79,156.56,147.88,4381475.0,65191966525.0
2026-06-17,149.33,144.99,149.33,143.05,3977086.0,57663769914.0
2026-06-18,144.0,147.4,152.88,143.51,3400900.0,50129266000.0
2026-06-22,147.4,143.35,149.0,141.0,2573920.0,36897143200.0
2026-06-23,143.01,137.94,143.37,136.33,2467438.0,34035839772.0
2026-06-24,136.33,137.43,139.6,134.28,2082414.0,28618615602.000004
2026-06-25,137.34,138.02,141.55,134.32,2531197.0,34935580994.0
2026-06-26,137.0,131.85,138.55,131.5,2157667.0,28448839395.0
2026-06-29,130.88,133.52,136.44,130.88,2345502.0,31317142704.000004
2026-06-30,133.0,138.65,139.03,131.54,2751157.0,38144791805.0
2026-07-01,137.72,137.18,142.5,136.1,2599975.0,35666457050.0
2026-07-02,137.18,134.4,139.8,134.02,2695383.0,36225947520.0
2026-07-03,135.74,135.93,138.5,133.95,2541833.0,34551135969.0
2026-07-06,135.0,133.18,136.78,132.36,2170132.0,28901817976.0
2026-07-07,133.28,131.22,137.44,131.1,2768393.0,36326852946.0
2026-07-08,132.06,134.79,137.47,128.3,3991122.0,53796333438.0
